repo,path,compat_kind,sunset_date,owner,status,notes
underlay-reference,acme-client/src/utils/http-client.ts,error_envelope_dual_read,2026-03-31,platform,removed,"Removed fallback requestId/fieldErrors read; snake_case only"
underlay-reference,acme-api/crates/db/src/categories.rs,sort_key_dual_read,2026-03-31,platform,removed,"Removed legacy camelCase sort aliases; current DB module tree has snake_case-only sort keys."
underlay-reference,acme-api/crates/db/src/media.rs,sort_key_dual_read,2026-03-31,platform,removed,"Legacy path migrated to db/src/media/*; verified no camelCase sort aliases remain."
underlay-reference,acme-api/crates/db/src/tasks.rs,sort_key_dual_read,2026-03-31,platform,removed,"Legacy path migrated to db/src/tasks/*; verified no camelCase sort/filter aliases remain."
acowtancy,cattle-grid/src/utils/http-client.ts,error_envelope_dual_read,2026-03-31,platform,removed,"Removed fallback requestId/fieldErrors read; snake_case only"
acowtancy,farmyard/crates/db/src/content.rs,sort_key_dual_read,2026-03-31,platform,removed,"Legacy camelCase alias path removed after db/src/content/* split; verified snake_case-only keys."
acowtancy,farmyard/crates/db/src/exams.rs,sort_key_dual_read,2026-03-31,platform,removed,"Legacy alias path removed after db/src/exams/* split; verified snake_case-only sort defaults."
compli-me,api-client/src/utils/http-client.ts,error_envelope_dual_read,2026-03-31,platform,removed,"Removed fallback requestId/fieldErrors read; snake_case only"
compli-me,api/crates/db/src/compli.rs,sort_key_dual_read,2026-03-31,platform,removed,"Legacy path migrated to db/src/compli/*; verified no camelCase sort aliases remain."
underlay,ts/src/runtime/index.ts,renamed_export_alias,2027-01-31,platform,active,"appendPaginationParams / PaginatedResponse are renamed aliases (of appendCursorPaginationParams / CursorPaginatedResponse) exported via ./runtime; canonical names live in patterns/pagination-types. Registered under sunset in g08.022; retire in g09."
underlay,rust/crates/underlay-http/src/pagination.rs,renamed_type_alias,2027-01-31,platform,active,"Deprecated PaginationParams alias of PagePaginationParams (g08.017 collision fix). Retire in g09."
underlay,rust/crates/underlay-db/src/pagination/params.rs,renamed_type_alias,2027-01-31,platform,active,"Deprecated PaginationParams alias of CursorPaginationParams (g08.017 collision fix). Retire in g09."
underlay,rust/crates/underlay-http/src/query/where_builder.rs,deprecated_fn,2027-01-31,platform,active,"Deprecated WhereBuilder::add_raw ({} substitution) superseded by add_raw_indexed (g08.017). Retire in g09."
